xROK;ROK;POHL;VEKKAT;KRAJ;OBYV
X;2010;2;15-34;53;69997
X;2010;2;35-44;53;36683
X;2010;2;45-54;53;33067
X;2010;2;55-64;53;37555
X;2010;2;65-74;53;25054
X;2010;2;75+;53;22967
X;2010;1;15-34;63;75656
X;2010;1;35-44;63;38490
X;2010;1;45-54;63;35701
X;2010;1;55-64;63;34177
X;2010;1;65-74;63;20203
X;2010;1;75+;63;12789
X;2010;2;15-34;63;69966
X;2010;2;35-44;63;36174
X;2010;2;45-54;63;33602
X;2010;2;55-64;63;35367
X;2010;2;65-74;63;25267
X;2010;2;75+;63;22739
X;2010;1;15-34;64;167288
X;2010;1;35-44;64;87439
X;2010;1;45-54;64;76204
X;2010;1;55-64;64;75832
X;2010;1;65-74;64;45363
X;2010;1;75+;64;27616
X;2010;2;15-34;64;158503
X;2010;2;35-44;64;82959
X;2010;2;45-54;64;75100
X;2010;2;55-64;64;83590
X;2010;2;65-74;64;58063
X;2010;2;75+;64;53551
X;2010;1;15-34;71;92709
X;2010;1;35-44;71;48060
X;2010;1;45-54;71;42508
X;2010;1;55-64;71;43574
X;2010;1;65-74;71;24704
X;2010;1;75+;71;15259
X;2010;2;15-34;71;87978
X;2010;2;35-44;71;45751
X;2010;2;45-54;71;42117
X;2010;2;55-64;71;47288
X;2010;2;65-74;71;31971
X;2010;2;75+;71;28411
X;2010;1;15-34;72;84751
X;2010;1;35-44;72;44463
X;2010;1;45-54;72;40523
X;2010;1;55-64;72;38936
X;2010;1;65-74;72;22877
X;2010;1;75+;72;14035
X;2010;2;15-34;72;80183
X;2010;2;35-44;72;42039
X;2010;2;45-54;72;39822
X;2010;2;55-64;72;42604
X;2010;2;65-74;72;30276
X;2010;2;75+;72;27443
X;2010;1;15-34;80;180033
X;2010;1;35-44;80;95485
X;2010;1;45-54;80;86803
X;2010;1;55-64;80;81820
X;2010;1;65-74;80;48782
X;2010;1;75+;80;25056
X;2010;2;15-34;80;169482
X;2010;2;35-44;80;90076
X;2010;2;45-54;80;84909
X;2010;2;55-64;80;90890
X;2010;2;65-74;80;62900
X;2010;2;75+;80;50402
X;2011;1;15-34;10;173175
X;2011;1;35-44;10;101426
X;2011;1;45-54;10;77178
X;2011;1;55-64;10;81078
X;2011;1;65-74;10;51902
X;2011;1;75+;10;32875
X;2011;2;15-34;10;166409
X;2011;2;35-44;10;95857
X;2011;2;45-54;10;78607
X;2011;2;55-64;10;92617
X;2011;2;65-74;10;65659
X;2011;2;75+;10;59197
X;2011;1;15-34;20;172828
X;2011;1;35-44;20;106093
X;2011;1;45-54;20;81273
X;2011;1;55-64;20;87138
X;2011;1;65-74;20;50387
X;2011;1;75+;20;28045
X;2011;2;15-34;20;166702
X;2011;2;35-44;20;99327
X;2011;2;45-54;20;78073
X;2011;2;55-64;20;90520
X;2011;2;65-74;20;61073
X;2011;2;75+;20;51282
X;2011;1;15-34;31;86816
X;2011;1;35-44;31;48327
X;2011;1;45-54;31;42714
X;2011;1;55-64;31;45795
X;2011;1;65-74;31;26125
X;2011;1;75+;31;15583
X;2011;2;15-34;31;82590
X;2011;2;35-44;31;46908
X;2011;2;45-54;31;41468
X;2011;2;55-64;31;46748
X;2011;2;65-74;31;31869
X;2011;2;75+;31;27419
X;2011;1;15-34;32;78073
X;2011;1;35-44;32;45010
X;2011;1;45-54;32;37815
X;2011;1;55-64;32;41022
X;2011;1;65-74;32;24948
X;2011;1;75+;32;14213
X;2011;2;15-34;32;73482
X;2011;2;35-44;32;42142
X;2011;2;45-54;32;36589
X;2011;2;55-64;32;42244
X;2011;2;65-74;32;29751
X;2011;2;75+;32;24734
X;2011;1;15-34;41;41497
X;2011;1;35-44;41;23971
X;2011;1;45-54;41;20665
X;2011;1;55-64;41;22019
X;2011;1;65-74;41;12144
X;2011;1;75+;41;6325
X;2011;2;15-34;41;39199
X;2011;2;35-44;41;23027
X;2011;2;45-54;41;20048
X;2011;2;55-64;41;23264
X;2011;2;65-74;41;15442
X;2011;2;75+;41;11366
X;2011;1;15-34;42;115018
X;2011;1;35-44;42;66076
X;2011;1;45-54;42;54012
X;2011;1;55-64;42;59938
X;2011;1;65-74;42;32668
X;2011;1;75+;42;15820
X;2011;2;15-34;42;107448
X;2011;2;35-44;42;62466
X;2011;2;45-54;42;52059
X;2011;2;55-64;42;63967
X;2011;2;65-74;42;40755
X;2011;2;75+;42;30754
X;2011;1;15-34;51;60423
X;2011;1;35-44;51;34459
X;2011;1;45-54;51;27337
X;2011;1;55-64;51;31494
X;2011;1;65-74;51;17374
X;2011;1;75+;51;9401
X;2011;2;15-34;51;57491
X;2011;2;35-44;51;33114
X;2011;2;45-54;51;27220
X;2011;2;55-64;51;33809
X;2011;2;65-74;51;21413
X;2011;2;75+;51;17788
X;2011;1;15-34;52;74878
X;2011;1;35-44;52;42704
X;2011;1;45-54;52;35338
X;2011;1;55-64;52;39342
X;2011;1;65-74;52;23523
X;2011;1;75+;52;14539
X;2011;2;15-34;52;70223
X;2011;2;35-44;52;40346
X;2011;2;45-54;52;34504
X;2011;2;55-64;52;42363
X;2011;2;65-74;52;29442
X;2011;2;75+;52;25619
X;2011;1;15-34;53;72414
X;2011;1;35-44;53;39900
X;2011;1;45-54;53;33158
X;2011;1;55-64;53;35957
X;2011;1;65-74;53;20921
X;2011;1;75+;53;12990
X;2011;2;15-34;53;67157
X;2011;2;35-44;53;37596
X;2011;2;45-54;53;32549
X;2011;2;55-64;53;37709
X;2011;2;65-74;53;26064
X;2011;2;75+;53;23127
X;2011;1;15-34;63;72363
X;2011;1;35-44;63;39105
X;2011;1;45-54;63;35045
X;2011;1;55-64;63;34655
X;2011;1;65-74;63;21152
X;2011;1;75+;63;12971
X;2011;2;15-34;63;67069
X;2011;2;35-44;63;36726
X;2011;2;45-54;63;33083
X;2011;2;55-64;63;35381
X;2011;2;65-74;63;26220
X;2011;2;75+;63;22994
X;2011;1;15-34;64;162488
X;2011;1;35-44;64;91247
X;2011;1;45-54;64;76684
X;2011;1;55-64;64;77322
X;2011;1;65-74;64;48355
X;2011;1;75+;64;28201
X;2011;2;15-34;64;153959
X;2011;2;35-44;64;86088
X;2011;2;45-54;64;74523
X;2011;2;55-64;64;84137
X;2011;2;65-74;64;60907
X;2011;2;75+;64;53913
X;2011;1;15-34;71;88087
X;2011;1;35-44;71;49279
X;2011;1;45-54;71;42051
X;2011;1;55-64;71;44038
X;2011;1;65-74;71;25984
X;2011;1;75+;71;15290
X;2011;2;15-34;71;83944
X;2011;2;35-44;71;46876
X;2011;2;45-54;71;41336
X;2011;2;55-64;71;47470
X;2011;2;65-74;71;33287
X;2011;2;75+;71;28511
X;2011;1;15-34;72;81562
X;2011;1;35-44;72;45482
X;2011;1;45-54;72;40272
X;2011;1;55-64;72;39608
X;2011;1;65-74;72;23949
X;2011;1;75+;72;14240
X;2011;2;15-34;72;76729
X;2011;2;35-44;72;42747
X;2011;2;45-54;72;39319
X;2011;2;55-64;72;42756
X;2011;2;65-74;72;31359
X;2011;2;75+;72;27765
X;2011;1;15-34;80;171429
X;2011;1;35-44;80;95301
X;2011;1;45-54;80;85793
X;2011;1;55-64;80;82806
X;2011;1;65-74;80;50470
X;2011;1;75+;80;25511
X;2011;2;15-34;80;161527
X;2011;2;35-44;80;90385
X;2011;2;45-54;80;83540
X;2011;2;55-64;80;91183
X;2011;2;65-74;80;65162
X;2011;2;75+;80;50437
