KOD;ROK;POHL;VEKKAT;KRAJ;HOSP
A101;2009;1;75+;41;3
A101;2009;1;75+;42;16
A101;2009;1;75+;51;8
A101;2009;1;75+;52;28
A101;2009;1;75+;53;7
A101;2009;1;75+;63;27
A101;2009;1;75+;64;27
A101;2009;1;75+;71;2
A101;2009;1;75+;72;15
A101;2009;1;75+;80;21
A101;2009;2;15-34;10;16
A101;2009;2;15-34;20;40
A101;2009;2;15-34;31;24
A101;2009;2;15-34;32;89
A101;2009;2;15-34;41;30
A101;2009;2;15-34;42;40
A101;2009;2;15-34;51;11
A101;2009;2;15-34;52;26
A101;2009;2;15-34;53;32
A101;2009;2;15-34;63;57
A101;2009;2;15-34;64;51
A101;2009;2;15-34;71;90
A101;2009;2;15-34;72;89
A101;2009;2;15-34;80;47
A101;2009;2;35-44;10;8
A101;2009;2;35-44;20;12
A101;2009;2;35-44;31;10
A101;2009;2;35-44;32;23
A101;2009;2;35-44;41;7
A101;2009;2;35-44;42;8
A101;2009;2;35-44;51;4
A101;2009;2;35-44;52;7
A101;2009;2;35-44;53;4
A101;2009;2;35-44;63;19
A101;2009;2;35-44;64;14
A101;2009;2;35-44;71;16
A101;2009;2;35-44;72;11
A101;2009;2;35-44;80;11
A101;2009;2;45-54;10;4
A101;2009;2;45-54;20;8
A101;2009;2;45-54;31;4
A101;2009;2;45-54;32;6
A101;2009;2;45-54;41;5
A101;2009;2;45-54;42;9
A101;2009;2;45-54;51;3
A101;2009;2;45-54;52;4
A101;2009;2;45-54;63;17
A101;2009;2;45-54;64;18
A101;2009;2;45-54;71;4
A101;2009;2;45-54;72;5
A101;2009;2;45-54;80;12
A101;2009;2;55-64;10;10
A101;2009;2;55-64;20;14
A101;2009;2;55-64;31;20
A101;2009;2;55-64;32;39
A101;2009;2;55-64;41;16
A101;2009;2;55-64;42;21
A101;2009;2;55-64;51;10
A101;2009;2;55-64;52;11
A101;2009;2;55-64;53;8
A101;2009;2;55-64;63;20
A101;2009;2;55-64;64;12
A101;2009;2;55-64;71;5
A101;2009;2;55-64;72;24
A101;2009;2;55-64;80;14
A101;2009;2;65-74;10;10
A101;2009;2;65-74;20;22
A101;2009;2;65-74;31;31
A101;2009;2;65-74;32;28
A101;2009;2;65-74;41;15
A101;2009;2;65-74;42;20
A101;2009;2;65-74;51;16
A101;2009;2;65-74;52;12
A101;2009;2;65-74;53;13
A101;2009;2;65-74;63;29
A101;2009;2;65-74;64;17
A101;2009;2;65-74;71;9
A101;2009;2;65-74;72;25
A101;2009;2;65-74;80;28
A101;2009;2;75+;10;22
A101;2009;2;75+;20;21
A101;2009;2;75+;31;36
A101;2009;2;75+;32;37
A101;2009;2;75+;41;12
A101;2009;2;75+;42;26
A101;2009;2;75+;51;25
A101;2009;2;75+;52;25
A101;2009;2;75+;53;17
A101;2009;2;75+;63;57
A101;2009;2;75+;64;59
A101;2009;2;75+;71;15
A101;2009;2;75+;72;47
A101;2009;2;75+;80;41
A101;2010;1;15-34;10;25
A101;2010;1;15-34;20;47
A101;2010;1;15-34;31;33
A101;2010;1;15-34;32;63
A101;2010;1;15-34;41;19
A101;2010;1;15-34;42;24
A101;2010;1;15-34;51;21
A101;2010;1;15-34;52;19
A101;2010;1;15-34;53;13
A101;2010;1;15-34;63;48
A101;2010;1;15-34;64;46
A101;2010;1;15-34;71;13
A101;2010;1;15-34;72;47
A101;2010;1;15-34;80;47
A101;2010;1;35-44;10;7
A101;2010;1;35-44;20;2
A101;2010;1;35-44;31;10
A101;2010;1;35-44;32;19
A101;2010;1;35-44;41;7
A101;2010;1;35-44;42;10
A101;2010;1;35-44;51;7
A101;2010;1;35-44;52;1
A101;2010;1;35-44;53;2
A101;2010;1;35-44;63;12
A101;2010;1;35-44;64;11
A101;2010;1;35-44;71;6
A101;2010;1;35-44;72;11
A101;2010;1;35-44;80;8
A101;2010;1;45-54;10;5
A101;2010;1;45-54;20;7
A101;2010;1;45-54;31;3
A101;2010;1;45-54;32;14
A101;2010;1;45-54;41;6
A101;2010;1;45-54;42;14
A101;2010;1;45-54;51;3
A101;2010;1;45-54;52;8
A101;2010;1;45-54;53;3
A101;2010;1;45-54;63;9
